origin,destination,count
AGP,HEL,1
AMS,HEL,1
ARN,HEL,1
ARN,LHR,1
ARN,MAD,1
BCN,HEL,1
BKK,HEL,1
BMA,CPH,1
BMA,GOT,1
BMA,HEL,1
BMA,MMX,1
BMA,OSL,1
BMA,TLL,1
BMA,UME,1
BRU,HEL,1
BUD,HEL,1
CDG,HEL,1
CKG,HEL,1
CPH,BMA,1
CPH,HEL,1
DBV,HEL,1
DEL,HEL,1
DUS,HEL,1
DXB,HEL,1
FCO,HEL,1
FRA,HEL,1
GOT,BMA,1
GOT,HEL,1
GVA,HEL,1
HAM,HEL,1
HEL,AGP,1
HEL,AMS,1
HEL,ARN,1
HEL,BCN,1
HEL,BKK,1
HEL,BMA,1
HEL,BRU,1
HEL,BUD,1
HEL,CDG,1
HEL,CKG,1
HEL,CPH,1
HEL,DBV,1
HEL,DEL,1
HEL,DUS,1
HEL,DXB,1
HEL,FCO,1
HEL,FRA,1
HEL,GOT,1
HEL,GVA,1
HEL,HAM,1
HEL,HKG,1
HEL,ICN,1
HEL,IVL,1
HEL,JFK,1
HEL,JOE,1
HEL,JYV,1
HEL,KAJ,1
HEL,KAO,1
HEL,KEF,1
HEL,KEM,1
HEL,KIX,1
HEL,KOK,1
HEL,KUO,1
HEL,LED,1
HEL,LHR,1
HEL,LIS,1
HEL,LJU,1
HEL,MAD,1
HEL,MAN,1
HEL,MHQ,1
HEL,MSQ,1
HEL,MUC,1
HEL,MXP,1
HEL,NGO,1
HEL,NRK,1
HEL,NRT,1
HEL,ORD,1
HEL,OSL,1
HEL,OUL,1
HEL,PEK,1
HEL,PRG,1
HEL,PVG,1
HEL,RIX,1
HEL,RVN,1
HEL,SIN,1
HEL,SVO,1
HEL,SVX,1
HEL,TAY,1
HEL,TKU,1
HEL,TLL,1
HEL,TMP,1
HEL,TXL,1
HEL,VAA,1
HEL,VIE,1
HEL,VNO,1
HEL,VRK,1
HEL,WAW,1
HEL,ZRH,1
HKG,HEL,1
ICN,HEL,1
IVL,KTT,1
JFK,HEL,1
JOE,HEL,1
JYV,HEL,1
KAJ,HEL,1
KAO,HEL,1
KEF,HEL,1
KEM,HEL,1
KIX,HEL,1
KOK,HEL,1
KTT,HEL,1
KUO,HEL,1
LED,HEL,1
LHR,ARN,1
LHR,HEL,1
LIS,HEL,1
LJU,HEL,1
MAD,ARN,1
MAD,HEL,1
MAN,HEL,1
MHQ,HEL,1
MMX,BMA,1
MSQ,HEL,1
MUC,HEL,1
MXP,HEL,1
NGO,HEL,1
NRK,HEL,1
NRT,HEL,1
ORD,HEL,1
OSL,BMA,1
OSL,HEL,1
OUL,HEL,1
OUL,RVN,1
PEK,HEL,1
PRG,HEL,1
PVG,HEL,1
RIX,HEL,1
RVN,HEL,1
RVN,OUL,1
SIN,HEL,1
SVL,HEL,1
SVO,HEL,1
SVX,HEL,1
TAY,HEL,1
TKU,HEL,1
TLL,BMA,1
TLL,HEL,1
TMP,HEL,1
TXL,HEL,1
UME,BMA,1
VAA,HEL,1
VIE,HEL,1
VNO,HEL,1
VRK,SVL,1
WAW,HEL,1
ZRH,HEL,1
